valid_time,temp,wspd,prcp,pres,week
2019-05-06 14:00:00,5.260315,4.703815,0.20217896,944.4997,19
2019-05-06 15:00:00,5.186493,4.548917,0.374794,944.59784,19
2019-05-06 16:00:00,4.683258,4.5861845,0.35762787,944.8147,19
2019-05-06 17:00:00,4.344574,4.041773,0.22792816,944.9139,19
2019-05-06 18:00:00,4.1951294,3.8609338,0.11968613,945.0361,19
2019-05-06 19:00:00,4.20755,3.4679494,0.05197525,945.60736,19
2019-05-06 20:00:00,4.330536,3.6085906,0.041007996,945.77435,19
2019-05-06 21:00:00,4.265045,4.059081,0.028133392,945.6978,19
2019-05-06 22:00:00,4.8292847,4.0818667,0.008583069,945.8159,19
2019-05-06 23:00:00,4.858429,4.352453,0.0047683716,945.5531,19
2019-05-07 00:00:00,4.7877197,4.1529565,0.0009536743,945.6316,19
2019-05-07 01:00:00,4.8059998,4.268712,0.0,945.6303,19
2019-05-07 02:00:00,4.5297546,4.372737,0.0,946.0164,19
2019-05-07 03:00:00,4.2421265,4.5266256,0.0,945.90875,19
2019-05-07 04:00:00,4.196747,4.6635704,0.0,946.11597,19
2019-05-07 05:00:00,4.5794983,4.441571,0.00047683716,946.53314,19
2019-05-07 06:00:00,5.534424,5.092968,0.0009536743,946.9158,19
2019-05-07 07:00:00,7.0900574,5.6850257,0.014305115,947.2531,19
2019-05-07 08:00:00,8.049408,6.6582994,0.15354156,947.45795,19
2019-05-07 09:00:00,8.452667,6.5715423,0.1578331,948.0712,19
2019-05-07 10:00:00,9.1128235,5.019229,0.20217896,948.0111,19
2019-05-07 11:00:00,9.653015,4.930704,0.22792816,948.2434,19
2019-05-07 12:00:00,9.778961,5.080041,0.118255615,948.3773,19
2019-05-07 13:00:00,9.8177185,4.946177,0.088214874,948.4308,19
2019-05-07 14:00:00,9.609436,4.70301,0.0743866,948.57263,19
2019-05-07 15:00:00,9.499207,4.6405034,0.018119812,948.8144,19
2019-05-07 16:00:00,9.2565,3.9682088,0.009536743,948.6614,19
2019-05-07 17:00:00,8.717316,3.1518881,0.0,949.10455,19
2019-05-07 18:00:00,7.3631897,2.2013495,0.0,949.47675,19
2019-05-07 19:00:00,6.3470764,1.7359246,0.0,949.78876,19
2019-05-07 20:00:00,5.2518616,1.7114831,0.0,950.09375,19
2019-05-07 21:00:00,4.0661926,1.7294129,0.0,950.2966,19
2019-05-07 22:00:00,3.3695984,1.6445811,0.0,950.61237,19
2019-05-07 23:00:00,2.7651062,1.5713353,0.0,950.70593,19
2019-05-08 00:00:00,2.028717,1.8928591,0.0,950.59644,19
2019-05-08 01:00:00,1.7964783,1.7936888,0.0,950.4928,19
2019-05-08 02:00:00,1.9973145,1.5855037,0.0,950.4519,19
2019-05-08 03:00:00,1.9906616,1.0396096,0.0,950.10034,19
2019-05-08 04:00:00,1.3002014,0.8231432,0.0,949.9428,19
2019-05-08 05:00:00,3.3732605,1.1217028,0.0,950.09344,19
2019-05-08 06:00:00,6.081299,0.5883694,0.0,950.20905,19
2019-05-08 07:00:00,8.186676,0.9831603,0.022888184,950.183,19
2019-05-08 08:00:00,10.236694,1.7566817,0.012874603,949.96155,19
2019-05-08 09:00:00,11.15567,2.0408912,0.051498413,949.5697,19
2019-05-08 10:00:00,11.272339,2.4413362,0.061035156,948.8711,19
2019-05-08 11:00:00,12.072052,2.8019378,0.10204315,948.4269,19
2019-05-08 12:00:00,12.471527,2.9922328,0.13637543,948.1769,19
2019-05-08 13:00:00,12.684357,3.3039553,0.031471252,947.4855,19
2019-05-08 14:00:00,12.899506,3.6377237,0.017166138,946.9139,19
2019-05-08 15:00:00,12.779633,3.8079553,0.0038146973,946.59674,19
2019-05-08 16:00:00,12.54892,3.6694376,0.0,946.1033,19
2019-05-08 17:00:00,11.737274,3.1849022,0.0,945.8605,19
2019-05-08 18:00:00,10.32608,2.9969912,0.0,945.555,19
2019-05-08 19:00:00,8.199493,3.0519753,0.0,945.40955,19
2019-05-08 20:00:00,7.0417175,3.120787,0.0,945.5005,19
2019-05-08 21:00:00,6.183319,3.2923715,0.0,945.15,19
2019-05-08 22:00:00,6.0782166,3.38833,0.0,944.0067,19
2019-05-08 23:00:00,5.8470764,3.479272,0.0,943.7488,19
2019-05-09 00:00:00,5.9551697,3.494757,0.0,943.39,19
2019-05-09 01:00:00,6.125458,3.3473854,0.0,942.4914,19
2019-05-09 02:00:00,6.333252,3.4942298,0.0,942.2612,19
2019-05-09 03:00:00,6.3329163,3.746661,0.0009536743,941.82623,19
2019-05-09 04:00:00,6.5617676,4.1278415,0.017166138,941.3894,19
2019-05-09 05:00:00,7.2513733,4.6650686,0.06723404,941.2424,19
2019-05-09 06:00:00,7.575653,4.639932,0.20933151,941.0864,19
2019-05-09 07:00:00,7.5284424,4.433135,0.43964386,940.90985,19
2019-05-09 08:00:00,7.482086,4.9486604,0.5745888,940.65924,19
2019-05-09 09:00:00,7.651367,5.3632884,0.64754486,940.52655,19
2019-05-09 10:00:00,8.064362,4.584856,0.60367584,940.2458,19
2019-05-09 11:00:00,8.594177,5.523108,0.42152405,939.8064,19
2019-05-09 12:00:00,8.925171,5.0730762,0.27275085,939.77313,19
2019-05-09 13:00:00,9.543793,4.949644,0.19741058,939.2559,19
2019-05-09 14:00:00,9.341095,4.647831,0.23365021,939.16187,19
2019-05-09 15:00:00,8.877106,4.291404,0.42057037,938.9892,19
2019-05-09 16:00:00,8.344025,3.534837,0.5521774,938.6614,19
2019-05-09 17:00:00,7.96875,2.946589,0.5941391,938.9325,19
2019-05-09 18:00:00,7.8153076,2.3800733,0.61416626,938.8222,19
2019-05-09 19:00:00,7.7341003,2.0618489,0.6313324,938.90125,19
2019-05-09 20:00:00,7.667938,1.7173315,0.50354004,938.86206,19
2019-05-09 21:00:00,7.5739136,1.4716024,0.37288666,938.85034,19
2019-05-09 22:00:00,6.925812,1.3728209,0.20122528,939.3817,19
2019-05-09 23:00:00,6.7948303,1.466933,0.12540817,939.1897,19
2019-05-10 00:00:00,6.8321533,1.1040796,0.18930435,939.14404,19
2019-05-10 01:00:00,6.7470703,1.1466515,0.16593933,939.1903,19
2019-05-10 02:00:00,6.4507446,1.1451054,0.09250641,939.4419,19
2019-05-10 03:00:00,6.269623,1.2326196,0.05865097,939.7445,19
2019-05-10 04:00:00,6.447693,1.5600913,0.029563904,940.0011,19
2019-05-10 05:00:00,7.5858154,1.621205,0.00333786,940.28326,19
2019-05-10 06:00:00,8.810699,1.6085404,0.0,940.6359,19
2019-05-10 07:00:00,10.326691,1.5218893,0.060081482,940.84265,19
2019-05-10 08:00:00,11.656464,1.2105424,0.034332275,941.0564,19
2019-05-10 09:00:00,13.188202,1.2827297,0.18978119,941.04266,19
2019-05-10 10:00:00,13.809967,1.3282527,0.17166138,941.4331,19
2019-05-10 11:00:00,14.262665,0.5882307,0.12111664,941.51984,19
2019-05-10 12:00:00,14.618256,0.9190916,0.22888184,941.9387,19
2019-05-10 13:00:00,14.250763,0.94321126,0.68092346,942.2008,19
2019-05-10 14:00:00,13.274811,1.5959917,0.40340424,942.673,19
2019-05-10 15:00:00,13.196808,1.8517131,0.28705597,943.1917,19
2019-05-10 16:00:00,13.027039,1.2879374,0.12302399,943.41156,19
2019-05-10 17:00:00,11.774841,1.1010164,0.6799698,943.73,19
2019-05-10 18:00:00,10.470856,1.8220471,0.06341934,944.14374,19
2019-05-10 19:00:00,9.71109,1.7348163,0.00667572,944.65985,19
2019-05-10 20:00:00,9.235992,2.2153797,0.0009536743,945.0491,19
2019-05-10 21:00:00,8.61441,2.0339274,0.0,945.3097,19
2019-05-10 22:00:00,8.168732,1.9237183,0.0,945.82,19
2019-05-10 23:00:00,8.116364,1.8524867,0.0009536743,945.9178,19
2019-05-11 00:00:00,7.614563,2.0327477,0.0,946.01654,19
2019-05-11 01:00:00,7.325714,1.7240726,0.0,946.04,19
2019-05-11 02:00:00,7.789093,1.6188525,0.0,946.1244,19
2019-05-11 03:00:00,7.799835,1.6399027,0.0,946.33545,19
2019-05-11 04:00:00,8.078888,1.8791369,0.0019073486,946.8184,19
2019-05-11 05:00:00,8.905212,2.0029914,0.00667572,946.915,19
2019-05-11 06:00:00,9.969147,2.2108216,0.0076293945,946.9275,19
2019-05-11 07:00:00,11.404633,2.48417,0.024795532,947.3239,19
2019-05-11 08:00:00,13.231506,2.1400676,0.046253204,946.95154,19
2019-05-11 09:00:00,14.253143,1.987014,0.05674362,946.89813,19
2019-05-11 10:00:00,15.419586,1.3847488,0.052928925,947.09674,19
2019-05-11 11:00:00,15.867523,1.9230759,0.09012222,946.9925,19
2019-05-11 12:00:00,16.558228,1.8649905,0.026226044,946.72406,19
2019-05-11 13:00:00,17.056,1.3761431,0.0076293945,946.54047,19
2019-05-11 14:00:00,17.383331,0.29461622,0.0,946.34155,19
2019-05-11 15:00:00,17.448456,0.6259498,0.0,946.28296,19
2019-05-11 16:00:00,17.267303,2.1548412,0.0,946.72705,19
2019-05-11 17:00:00,16.062439,2.4548836,0.0,946.73627,19
2019-05-11 18:00:00,13.860565,2.1871269,0.0,947.09467,19
2019-05-11 19:00:00,12.216888,2.2544973,0.0,947.5553,19
2019-05-11 20:00:00,11.2586975,2.2409492,0.0,947.95935,19
2019-05-11 21:00:00,10.99881,2.107794,0.0,948.16077,19
2019-05-11 22:00:00,10.314545,2.1967466,0.0,948.21936,19
2019-05-11 23:00:00,9.900909,2.4081457,0.0,948.46014,19
2019-05-12 00:00:00,9.434357,2.680183,0.017166138,948.5117,19
2019-05-12 01:00:00,9.3815,2.0389364,0.120162964,948.573,19
2019-05-12 02:00:00,9.214935,1.9635799,0.25749207,948.92017,19
2019-05-12 03:00:00,8.72818,2.1626885,0.40531158,949.02594,19
2019-05-12 04:00:00,9.192108,2.3239293,0.29087067,949.5478,19
